Fecha,Hora,Valor_BencenoyPrecursores,Archivo
2018-12-24,07:00:00,0.846117751,fdo241218.XLS
2018-12-27,07:00:00,0.971295255,fdo271218.XLS
2018-12-31,07:00:00,0.818493126,fdo311218.XLS
2019-01-03,07:00:00,0.439439262,fdo030119.XLS
2019-01-07,07:00:00,1.349333742,fdo070119.XLS
2019-01-10,07:00:00,0.895549062,fdo100119.XLS
2019-01-14,07:00:00,0.837739854,fdo140119.XLS
2019-01-21,07:00:00,1.584280178,fdo210119.XLS
2019-01-23,07:00:00,0.832586055,fdo230119.XLS
2019-01-24,07:00:00,0.760953848,fdo240119.XLS
2019-01-28,07:00:00,0.672726276,fdo280119.XLS
2019-01-31,07:00:00,1.190449729,fdo310119.XLS
2019-02-04,07:00:00,0.806034704,fdo040219.XLS
2019-02-07,07:00:00,0.875739104,fdo070219.XLS
2019-02-11,07:00:00,0.758204065,fdo110219.XLS
2019-02-14,07:00:00,0.429186425,fdo140219.XLS
2019-02-18,07:00:00,0.702145606,fdo180219.XLS
2019-02-21,07:00:00,0.943614461,fdo210219.XLS
2019-02-25,07:00:00,0.330334884,fdo250219.XLS
2019-02-28,07:00:00,0.923363069,fdo280219.XLS
2019-03-04,07:00:00,0.626650855,fdo040319.XLS
2019-03-11,07:00:00,1.524559029,fdo110319.XLS
2019-03-14,07:00:00,0.602120713,fdo140319.XLS
2019-03-18,07:00:00,0.955385339,fdo180319.XLS
2019-03-21,07:00:00,0.725245949,fdo210319.XLS
2019-03-25,07:00:00,0.995666381,fdo250319.XLS
2019-03-28,07:00:00,0.623728489,fdo280319.XLS
2019-04-02,07:00:00,1.493744027,fdo020419.XLS
2019-04-04,07:00:00,0.211579934,fdo040419.XLS
2019-04-08,07:00:00,1.470790784,fdo080419.XLS
2019-04-11,07:00:00,0.075135107,fdo110419.XLS
2019-04-15,07:00:00,1.677308819,fdo150419.XLS
2019-04-18,07:00:00,0.628100849,fdo180419.XLS
2019-04-22,07:00:00,0.800824444,fdo220419.XLS
2019-04-25,07:00:00,1.059965232,fdo250419.XLS
2019-04-29,07:00:00,0.51321938,fdo290419.XLS
2019-05-01,07:00:00,0.767460647,fdo010519.XLS
2019-05-02,07:00:00,1.228547755,fdo020519.XLS
2019-05-06,07:00:00,1.881040602,fdo060519.XLS
2019-05-09,07:00:00,0.778128721,fdo090519.XLS
2019-05-13,07:00:00,0.563061964,fdo130519.XLS
2019-05-16,07:00:00,0.55824402,fdo160519.XLS
2019-05-20,07:00:00,0.627994227,fdo200519.XLS
2019-05-27,07:00:00,1.111385964,fdo270519.XLS
2019-05-30,07:00:00,0.863607336,fdo300519.XLS
2019-06-03,07:00:00,0.347439116,fdo030619.XLS
2019-06-06,07:00:00,1.32318545,fdo060619.XLS
2019-06-10,07:00:00,0.43123674,fdo100619.XLS
2019-06-13,07:00:00,2.045260428,fdo130619.XLS
2019-06-20,07:00:00,1.038472281,fdo200619.XLS
2019-06-24,07:00:00,0.783862141,fdo240619.XLS
2019-06-27,07:00:00,0.893359466,fdo270619.XLS
2019-07-01,07:00:00,0.419610577,fdo010719.XLS
2019-07-04,07:00:00,0.411541198,fdo040719.XLS
2019-07-08,07:00:00,1.121328411,fdo080719.XLS
2019-07-11,07:00:00,0.748010238,fdo110719.XLS
2019-07-15,07:00:00,0.731223924,fdo150719.XLS
2019-07-18,07:00:00,1.601937217,fdo180719.XLS
2019-07-22,07:00:00,3.545467367,fdo220719.XLS
2019-07-25,07:00:00,0.982764931,fdo250719.XLS
2019-07-29,07:00:00,0.338529611,fdo290719.XLS
2019-08-01,07:00:00,0.451067759,fdo010819.XLS
2019-08-08,07:00:00,0.451674012,fdo080819.XLS
2019-08-12,07:00:00,1.032611136,fdo120819.XLS
2019-08-15,07:00:00,0.645366384,fdo150819.XLS
2019-08-19,07:00:00,0.884855742,fdo190819.XLS
2019-08-22,07:00:00,0.973453084,fdo220819.XLS
2019-08-26,07:00:00,1.486873912,fdo260819.XLS
2019-08-29,07:00:00,0.113492855,fdo290819.XLS
2019-09-02,07:00:00,0.398216927,fdo020919.XLS
2019-09-05,07:00:00,0.463485448,fdo050919.XLS
2019-09-09,07:00:00,1.015208773,fdo090919.XLS
2019-09-12,07:00:00,0.60201605,fdo120919.XLS
2019-09-16,07:00:00,0.889193472,fdo160919.XLS
2019-09-19,07:00:00,0.583799896,fdo190919.XLS
2019-09-23,07:00:00,0.41655947,fdo230919.XLS
2019-09-26,07:00:00,0.654291705,fdo260919.XLS
2019-09-30,07:00:00,0.606908489,fdo300919.XLS
2019-10-03,07:00:00,1.270946383,fdo031019.XLS
2019-10-07,07:00:00,0.084728595,fdo071019.XLS
2019-10-10,07:00:00,2.201309132,fdo101019.XLS
2019-10-14,07:00:00,1.058870774,fdo141019.XLS
2019-10-21,07:00:00,1.072182061,fdo211019.XLS
2019-10-28,07:00:00,1.333688488,fdo281019.XLS
2019-10-31,07:00:00,0.828234078,fdo311019.XLS
2019-11-04,07:00:00,0.645598377,fdo041119.XLS
2019-11-11,07:00:00,0.513265939,fdo111119.XLS
2019-11-14,07:00:00,0.692155108,fdo141119.XLS
2019-11-18,07:00:00,0.831516895,fdo181119.XLS
2019-11-21,07:00:00,1.455474173,fdo211119.XLS
2019-11-25,07:00:00,0.786981585,fdo251119.XLS
2019-11-28,07:00:00,0.381486025,fdo281119.XLS
2019-12-02,07:00:00,0.277245097,fdo021219.XLS
2019-12-05,07:00:00,2.940510714,fdo051219.XLS
2019-12-09,07:00:00,0.095954214,fdo091219.XLS
2019-12-12,07:00:00,0.058506768,fdo121219.XLS
2019-12-16,07:00:00,0.763247706,fdo161219.XLS
2019-12-19,07:00:00,1.217859644,fdo191219.XLS
2019-12-23,07:00:00,0.359752412,fdo231219.XLS
2019-12-25,07:00:00,0.237435142,fdo251219.XLS
2019-12-26,07:00:00,2.095839093,fdo261219.XLS
2019-12-30,07:00:00,1.209311746,fdo301219.XLS
2020-01-02,07:00:00,1.06094952,fdo020120.XLS
2020-01-02,07:00:00,1.098207141,fdo020120.XLS
2020-01-09,07:00:00,0.562765885,fdo090120.XLS
2020-01-13,07:00:00,1.231019762,fdo130120.XLS
2020-01-16,07:00:00,2.739314485,fdo160120.XLS
2020-01-20,07:00:00,1.655972433,fdo200120.XLS
2020-01-27,07:00:00,2.251461225,fdo270120.XLS
2020-01-30,07:00:00,1.125481986,fdo300120.XLS
2020-02-03,07:00:00,2.312246545,fdo030220.XLS
2020-02-06,07:00:00,0.658524647,fdo060220.XLS
2020-02-10,07:00:00,0.263317847,fdo100220.XLS
2020-02-13,07:00:00,0.577109269,fdo130220.XLS
2020-02-17,07:00:00,1.17395163,fdo170220.XLS
2020-02-20,07:00:00,0.460426973,fdo200220.XLS
2020-02-24,07:00:00,0.33950505,fdo240220.XLS
2020-02-27,07:00:00,0.193994405,fdo270220.XLS
2020-03-02,07:00:00,1.304611274,fdo020320.XLS
2020-03-05,07:00:00,0.352524675,fdo050320.XLS
2020-03-09,07:00:00,2.013802599,fdo090320.XLS
2020-03-12,07:00:00,0.241580385,fdo120320.XLS
2020-03-16,07:00:00,0.43510946,fdo160320.XLS
2020-03-23,07:00:00,0.577865785,fdo230320.XLS
2020-03-30,07:00:00,0.729549035,fdo300320.XLS
2020-04-06,07:00:00,0.660934802,fdo060420.XLS
2020-04-13,07:00:00,0.648290768,fdo130420.XLS
2020-04-16,07:00:00,0.785931017,fdo160420.XLS
2020-04-20,07:00:00,1.268222374,fdo200420.XLS
2020-04-27,07:00:00,1.589108274,fdo270420.XLS
2020-05-04,07:00:00,1.512106106,fdo040520.XLS
2020-05-11,07:00:00,1.196978108,fdo110520.XLS
2020-05-18,07:00:00,1.942649012,fdo180520.XLS
2020-05-25,07:00:00,0.786636009,fdo250520.XLS
2020-06-01,07:00:00,1.192142742,fdo010620.XLS
2020-06-08,07:00:00,3.056073264,fdo080620.XLS
2020-06-15,07:00:00,1.734726875,fdo150620.XLS
2020-06-20,07:00:00,2.073196814,fdo200620.XLS
2020-06-25,07:00:00,1.011443608,fdo250620.XLS
2020-06-30,07:00:00,1.455333855,fdo300620.XLS
2020-07-01,07:00:00,1.669504031,fdo010720.XLS
2020-07-04,07:00:00,1.586845161,fdo040720.XLS
2020-07-08,07:00:00,0.894237935,fdo080720.XLS
2020-07-11,07:00:00,1.929575824,fdo110720.XLS
2020-07-15,07:00:00,1.330805482,fdo150720.XLS
2020-07-18,07:00:00,1.954270107,fdo180720.XLS
2020-07-25,07:00:00,0.371615792,fdo250720.XLS
2020-07-28,07:00:00,1.680401638,fdo280720.XLS
2020-07-29,07:00:00,1.509969156,fdo290720.XLS
2020-08-01,07:00:00,1.017785798,fdo010820.XLS
2020-08-04,07:00:00,2.167959036,fdo040820.XLS
2020-08-05,07:00:00,0.830576619,fdo050820.XLS
2020-08-08,07:00:00,1.044778573,fdo080820.XLS
2020-08-11,07:00:00,1.878128596,fdo110820.XLS
2020-08-12,07:00:00,0.817467681,fdo120820.XLS
2020-08-15,07:00:00,2.112746799,fdo150820.XLS
2020-08-19,07:00:00,1.154454613,fdo190820.XLS
2020-08-22,07:00:00,0.267312991,fdo220820.XLS
2020-08-25,07:00:00,1.080605865,fdo250820.XLS
2020-08-26,07:00:00,1.14804688,fdo260820.XLS
2020-08-29,07:00:00,0.312663909,fdo290820.XLS
2020-09-01,07:00:00,1.285733572,fdo010920.XLS
2020-09-02,07:00:00,0.958835955,fdo020920.XLS
2020-09-05,07:00:00,1.02607473,fdo050920.XLS
2020-09-08,07:00:00,0.894368327,fdo080920.XLS
2020-09-09,07:00:00,1.511217363,fdo090920.XLS
2020-09-12,07:00:00,0.594158658,fdo120920.XLS
2020-09-15,07:00:00,1.127378854,fdo150920.XLS
2020-09-16,07:00:00,1.311353542,fdo160920.XLS
2020-09-19,07:00:00,1.14001414,fdo190920.XLS
2020-09-22,07:00:00,0.886399758,fdo220920.XLS
2020-09-23,07:00:00,1.62796155,fdo230920.XLS
2020-09-26,07:00:00,0.666675347,fdo260920.XLS
2020-09-29,07:00:00,1.300794306,fdo290920.XLS
2020-09-30,07:00:00,1.649013292,fdo300920.XLS
2020-10-03,07:00:00,2.070203666,fdo031020.XLS
2020-10-06,07:00:00,1.277363708,fdo061020.XLS
2020-10-07,07:00:00,1.827211832,fdo071020.XLS
2020-10-10,07:00:00,2.688296607,fdo101020.XLS
2020-10-13,07:00:00,2.1517287,fdo131020.XLS
2020-10-14,07:00:00,0.231714645,fdo141020.XLS
2020-10-17,07:00:00,1.295113143,fdo171020.XLS
2020-10-20,07:00:00,1.16291576,fdo201020.XLS
2020-10-21,07:00:00,0.518477164,fdo211020.XLS
2020-10-24,07:00:00,0.475405838,fdo241020.XLS
2020-11-18,07:00:00,4.13827306,fdo181120.XLS
2020-11-21,07:00:00,0.487253898,fdo211120.XLS
2020-11-24,07:00:00,0.180160777,fdo241120.XLS
2020-11-25,07:00:00,1.764856903,fdo251120.XLS
2020-11-28,07:00:00,0.429182343,fdo281120.XLS
2020-12-01,07:00:00,0.865868542,fdo011220.XLS
2020-12-02,07:00:00,0.451350808,fdo021220.XLS
2020-12-08,07:00:00,0.906833825,fdo081220.XLS
2020-12-12,07:00:00,0.4789029,fdo121220.XLS
2020-12-15,07:00:00,0.395961106,fdo151220.XLS
2020-12-16,07:00:00,0.162534907,fdo161220.XLS
2020-12-19,07:00:00,0.246677486,fdo191220.XLS
2020-12-22,07:00:00,1.81978081,fdo221220.XLS
2020-12-23,07:00:00,1.049579476,fdo231220.XLS
2020-12-26,07:00:00,1.934019893,fdo261220.XLS
2020-12-29,07:00:00,0.61676278,fdo291220.XLS
2020-12-30,07:00:00,0.97805105,fdo301220.XLS
2021-01-05,07:00:00,1.012584807,fdo050121.XLS
2021-01-06,07:00:00,0.511694389,fdo060121.XLS
2021-01-09,07:00:00,1.001227458,fdo090121.XLS
2021-01-12,07:00:00,0.659874584,fdo120121.XLS
2021-01-13,07:00:00,2.045525492,fdo130121.XLS
2021-01-16,07:00:00,1.228484136,fdo160121.XLS
2021-01-19,07:00:00,0.943398483,fdo190121.XLS
2021-01-20,07:00:00,2.220600251,fdo200121.XLS
2021-01-23,07:00:00,1.057833392,fdo230121.XLS
2021-01-26,07:00:00,0.812796839,fdo260121.XLS
2021-01-27,07:00:00,1.025216542,fdo270121.XLS
2021-01-28,07:00:00,0.776732096,fdo280121.XLS
2021-02-02,07:00:00,0.130071911,fdo020221.XLS
2021-02-03,07:00:00,0.43334921,fdo030221.XLS
2021-02-06,07:00:00,0.481558647,fdo060221.XLS
2021-02-09,07:00:00,0.285198002,fdo090221.XLS
2021-02-10,07:00:00,0.530238992,fdo100221.XLS
2021-02-14,07:00:00,0.440416733,fdo140221r.XLS
2021-02-16,07:00:00,0.501909464,fdo160221.XLS
2021-02-17,07:00:00,0.982459745,fdo170221.XLS
2021-02-20,07:00:00,1.402936101,fdo200221.XLS
2021-02-23,07:00:00,1.08960293,fdo230221.XLS
2021-02-24,07:00:00,1.634277255,fdo240221.XLS
2021-02-27,07:00:00,1.596236485,fdo270221.XLS
2021-03-02,07:00:00,0.751912404,fdo020321.XLS
2021-03-03,07:00:00,0.446671185,fdo030321.XLS
2021-03-09,07:00:00,0.376132497,fdo090321.XLS
2021-03-10,07:00:00,1.813640943,fdo100321.XLS
2021-03-13,07:00:00,0.132312164,fdo130321.XLS
2021-03-16,07:00:00,0.657732289,fdo160321.XLS
2021-03-17,07:00:00,0.285151067,fdo170321.XLS
2021-03-20,07:00:00,0.841291587,fdo200321.XLS
2021-03-24,07:00:00,0.886983052,fdo240321.XLS
2021-03-27,07:00:00,1.032932839,fdo270321.XLS
2021-04-06,07:00:00,0.886766742,fdo060421.XLS
2021-04-07,07:00:00,0.592320281,fdo070421.XLS
2021-04-10,07:00:00,0.79406092,fdo100421.XLS
2021-04-13,07:00:00,1.50502601,fdo130421.XLS
2021-04-20,07:00:00,1.552737165,fdo200421.XLS
2021-04-21,07:00:00,1.426140028,fdo210421.XLS
2021-04-24,07:00:00,1.443493826,fdo240421.XLS
2021-04-27,07:00:00,1.43994621,fdo270421.XLS
2021-04-28,07:00:00,2.422083922,fdo280421.XLS
2021-05-04,07:00:00,2.195753914,fdo040521.XLS
2021-05-05,07:00:00,1.861025054,fdo050521.XLS
2021-05-08,07:00:00,1.426983974,fdo080521.XLS
2021-05-11,07:00:00,1.727795448,fdo110521.XLS
2021-05-12,07:00:00,0.110649086,fdo120521.XLS
2021-05-14,07:00:00,1.964736226,fdo140521.XLS
2021-05-15,07:00:00,2.236668494,fdo150521.XLS
2021-05-18,07:00:00,2.26362764,fdo180521.XLS
2021-05-19,07:00:00,2.511252202,fdo190521.XLS
2021-05-22,07:00:00,2.154199012,fdo220521.XLS
2021-05-25,07:00:00,2.061706206,fdo250521.XLS
2021-05-26,07:00:00,1.959196321,fdo260521.XLS
2021-05-29,07:00:00,1.539212605,fdo290521.XLS
2021-06-01,07:00:00,0.936800372,fdo010621.XLS
2021-06-02,07:00:00,1.432684722,fdo020621.XLS
2021-06-05,07:00:00,1.72974987,fdo050621.XLS
2021-06-09,07:00:00,2.372669186,fdo090621.XLS
2021-06-12,07:00:00,1.708268313,fdo120621.XLS
2021-06-15,07:00:00,1.903732132,fdo150621.XLS
2021-06-16,07:00:00,2.179560214,fdo160621.XLS
2021-06-19,07:00:00,1.77989811,fdo190621.XLS
2021-06-22,07:00:00,2.037910505,fdo220621.XLS
2021-06-23,07:00:00,2.0390469,fdo230621.XLS
2021-06-26,07:00:00,2.594400016,fdo260621.XLS
2021-06-29,07:00:00,1.291672184,fdo290621.XLS
2021-06-30,07:00:00,2.086661257,fdo300621.XLS
2021-07-03,07:00:00,1.768542596,fdo030721.XLS
2021-07-06,07:00:00,1.593766445,fdo060721.XLS
2021-07-07,07:00:00,2.071231118,fdo070721.XLS
2021-07-08,07:00:00,2.677830334,fdo080721.XLS
2021-07-10,07:00:00,2.404595231,fdo100721.XLS
2021-07-13,07:00:00,1.593270729,fdo130721.XLS
2021-07-14,07:00:00,1.328506631,fdo140721.XLS
2021-07-17,07:00:00,0.929954189,fdo170721.XLS
2021-07-20,07:00:00,1.106125991,fdo200721.XLS
2021-07-21,07:00:00,1.411152631,fdo210721.XLS
2021-07-24,07:00:00,1.231343144,fdo240721.XLS
2021-07-27,07:00:00,2.257658134,fdo270721.XLS
2021-07-28,07:00:00,1.091166849,fdo280721.XLS
2021-07-31,07:00:00,2.503778847,fdo310721.XLS
2021-08-03,07:00:00,0.99267403,fdo030821.XLS
2021-08-04,07:00:00,0.127892437,fdo040821.XLS
2021-08-07,07:00:00,0.098137485,fdo070821.XLS
2021-08-10,07:00:00,2.905800675,fdo100821.XLS
2021-08-11,07:00:00,0.09831928,fdo110821.XLS
2021-08-14,07:00:00,1.519467493,fdo140821.XLS
2021-08-17,07:00:00,0.09488335,fdo170821.XLS
2021-08-18,07:00:00,1.403119079,fdo180821.XLS
2021-08-21,07:00:00,1.670797238,fdo210821.XLS
2021-08-24,07:00:00,1.028126948,fdo240821.XLS
2021-08-25,07:00:00,0.523648217,fdo250821.XLS
2021-08-28,07:00:00,1.958673687,fdo280821.XLS
2021-08-31,07:00:00,3.314504267,fdo310821.XLS
2021-09-01,07:00:00,0.181734801,fdo010921.XLS
2021-09-04,07:00:00,1.551448803,fdo040921.XLS
2021-09-07,07:00:00,2.423166288,fdo070921.XLS
2021-09-08,07:00:00,0.736496259,fdo080921.XLS
2021-09-15,07:00:00,2.072337453,fdo150921.XLS
2021-09-18,07:00:00,2.349670392,fdo180921.XLS
2021-09-21,07:00:00,2.848486609,fdo210921.XLS
2021-09-22,07:00:00,1.384526361,fdo220921.XLS
2021-09-25,07:00:00,1.968650919,fdo250921.XLS
2021-09-28,07:00:00,1.295860326,fdo280921.XLS
2021-09-29,07:00:00,0.701847201,fdo290921.XLS
